Title,Note,URL,Tags,Comment
Meigu Restaurant,,https://www.google.com/maps/place/Meigu+Restaurant/data=!4m2!3m1!1s0x346ec2c4fed5b4a3:0xc173317240e4531d,,
奮起湖樂樂花園餐飲,,https://www.google.com/maps/place/%E5%A5%AE%E8%B5%B7%E6%B9%96%E6%A8%82%E6%A8%82%E8%8A%B1%E5%9C%92%E9%A4%90%E9%A3%B2/data=!4m2!3m1!1s0x346ec2c38a273cb1:0xfe2e5c66a97b66f1,,
Fang Mei Tingyuan Restaurant,,https://www.google.com/maps/place/Fang+Mei+Tingyuan+Restaurant/data=!4m2!3m1!1s0x346ec3f8c8555827:0xf40bc140890204c0,,
石棹 彤炘美食,,https://www.google.com/maps/place/%E7%9F%B3%E6%A3%B9+%E5%BD%A4%E7%82%98%E7%BE%8E%E9%A3%9F/data=!4m2!3m1!1s0x346ee81d0539d0ed:0x48bbc6c71e1cb88c,,
石桌羊肉店,,https://www.google.com/maps/place/%E7%9F%B3%E6%A1%8C%E7%BE%8A%E8%82%89%E5%BA%97/data=!4m2!3m1!1s0x346ee81db36550a3:0xe92c48ec05a2ee49,,
豊合豐禾 景觀餐廳,,https://www.google.com/maps/place/%E8%B1%8A%E5%90%88%E8%B1%90%E7%A6%BE+%E6%99%AF%E8%A7%80%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346ec1e99a11bb65:0x4742bf6381d27d28,,
佐一茶屋,,https://www.google.com/maps/place/%E4%BD%90%E4%B8%80%E8%8C%B6%E5%B1%8B/data=!4m2!3m1!1s0x346ee9e646b9d199:0x19bf14e6e3dfd4c,,
Feng Ba Restaurant,,https://www.google.com/maps/place/Feng+Ba+Restaurant/data=!4m2!3m1!1s0x346ee80238ed81d5:0x35fdb4fc5c379c2e,,
Fenrui Historic Trail,,https://www.google.com/maps/place/Fenrui+Historic+Trail/data=!4m2!3m1!1s0x346ec2d8fe67f867:0xa4b56cd14b8e7ac,,
Tea and Mist Trail 茶霧之道,,https://www.google.com/maps/place/Tea+and+Mist+Trail+%E8%8C%B6%E9%9C%A7%E4%B9%8B%E9%81%93/data=!4m2!3m1!1s0x346ee93c4fee3c65:0x5d2717dd24d6467,,
Eryanping Trail,,https://www.google.com/maps/place/Eryanping+Trail/data=!4m2!3m1!1s0x346eebdef368d8d5:0x25f95d4f61c0f75d,,
逐鹿傳說梅花鹿園,,https://www.google.com/maps/place/%E9%80%90%E9%B9%BF%E5%82%B3%E8%AA%AA%E6%A2%85%E8%8A%B1%E9%B9%BF%E5%9C%92/data=!4m2!3m1!1s0x346eeb4349e8cf11:0x6d96e31cc3d28083,,
山之埕－嘉義景點 親子旅遊園區 阿里山景點 好評 打卡景點 團體旅遊 阿里山 特色 雕刻藝術品 檜木藝品 檜木商品 文創商品 伴手禮推薦 2024評價,,https://www.google.com/maps/place/%E5%B1%B1%E4%B9%8B%E5%9F%95%EF%BC%8D%E5%98%89%E7%BE%A9%E6%99%AF%E9%BB%9E+%E8%A6%AA%E5%AD%90%E6%97%85%E9%81%8A%E5%9C%92%E5%8D%80+%E9%98%BF%E9%87%8C%E5%B1%B1%E6%99%AF%E9%BB%9E+%E5%A5%BD%E8%A9%95+%E6%89%93%E5%8D%A1%E6%99%AF%E9%BB%9E+%E5%9C%98%E9%AB%94%E6%97%85%E9%81%8A+%E9%98%BF%E9%87%8C%E5%B1%B1+%E7%89%B9%E8%89%B2+%E9%9B%95%E5%88%BB%E8%97%9D%E8%A1%93%E5%93%81+%E6%AA%9C%E6%9C%A8%E8%97%9D%E5%93%81+%E6%AA%9C%E6%9C%A8%E5%95%86%E5%93%81+%E6%96%87%E5%89%B5%E5%95%86%E5%93%81+%E4%BC%B4%E6%89%8B%E7%A6%AE%E6%8E%A8%E8%96%A6+2024%E8%A9%95%E5%83%B9/data=!4m2!3m1!1s0x346e9682eab82a0d:0xfeed5af7d957e768,,
Mountain Ali Tea No.35,,https://www.google.com/maps/place/Mountain+Ali+Tea+No.35/data=!4m2!3m1!1s0x346ede946fbeddf7:0xea0c439dc38dfde9,,
Shan Bin Restaurant,,https://www.google.com/maps/place/Shan+Bin+Restaurant/data=!4m2!3m1!1s0x346edea144acf379:0x2170482a7e9d5efa,,
Alishan Hotel,,https://www.google.com/maps/place/Alishan+Hotel/data=!4m2!3m1!1s0x346edd08e1a1b7b7:0x8579995f376a507f,,
Alishan National Forest Recreation Area,,https://www.google.com/maps/place/Alishan+National+Forest+Recreation+Area/data=!4m2!3m1!1s0x346edc20ac26153b:0xfff7f85ca03bbfd4,,
四方竹林,,https://www.google.com/maps/place/%E5%9B%9B%E6%96%B9%E7%AB%B9%E6%9E%97/data=!4m2!3m1!1s0x346ec2c37c0c4f35:0xfbbd137cfc1886d5,,
Fengqihu Logging Track 奮起湖木馬棧道,,https://www.google.com/maps/place/Fengqihu+Logging+Track+%E5%A5%AE%E8%B5%B7%E6%B9%96%E6%9C%A8%E9%A6%AC%E6%A3%A7%E9%81%93/data=!4m2!3m1!1s0x346ec2c4b8bb5d9b:0x8208addbae59000d,,
Fen Chi Hu Station,,https://www.google.com/maps/place/Fen+Chi+Hu+Station/data=!4m2!3m1!1s0x346ec2c483f5df0f:0x712e7b348e99a79d,,
Fenqihu Old Street,,https://www.google.com/maps/place/Fenqihu+Old+Street/data=!4m2!3m1!1s0x346ec2a6aaaaaaab:0xde130b38b878d000,,
觸口-天長橋,,https://www.google.com/maps/place/%E8%A7%B8%E5%8F%A3-%E5%A4%A9%E9%95%B7%E6%A9%8B/data=!4m2!3m1!1s0x346eebc5313d008b:0x1c167296d3d627fe,,
Chukou Niubu Aberdeen Prairie (Ali Love Silk Road No. 18),,https://www.google.com/maps/place/Chukou+Niubu+Aberdeen+Prairie+(Ali+Love+Silk+Road+No.+18)/data=!4m2!3m1!1s0x346eebb874fd20b3:0xc45658eb5b43f973,,
